# Best_alpha = -0.998000 Best_beta = -0.998000 Best_Energy = -0.998000 index of best_ vals = 2
mean(E_l), std(E_l), Var(E_l), alpha, beta
-1.295596, 0.000000, 0.000000, -0.633000, 0.000000, 
-1.304239, 0.000000, 0.000000, -0.632000, 0.000000, 
-1.309745, 0.000000, 0.000000, -0.631000, 0.000000, 
-1.270007, 0.000000, 0.000000, -0.630000, 0.000000, 
-1.278077, 0.000000, 0.000000, -0.629000, 0.000000, 
-1.279541, 0.000000, 0.000000, -0.628000, 0.000000, 
-1.284570, 0.000000, 0.000000, -0.627000, 0.000000, 
-1.284364, 0.000000, 0.000000, -0.626000, 0.000000, 
-1.280834, 0.000000, 0.000000, -0.625000, 0.000000, 
-1.278477, 0.000000, 0.000000, -0.624000, 0.000000, 
-1.257859, 0.000000, 0.000000, -0.623000, 0.000000, 
-1.266500, 0.000000, 0.000000, -0.622000, 0.000000, 
-1.271473, 0.000000, 0.000000, -0.621000, 0.000000, 
-1.277739, 0.000000, 0.000000, -0.620000, 0.000000, 
-1.245686, 0.000000, 0.000000, -0.619000, 0.000000, 
-1.269166, 0.000000, 0.000000, -0.618000, 0.000000, 
-1.268645, 0.000000, 0.000000, -0.617000, 0.000000, 
-1.266578, 0.000000, 0.000000, -0.616000, 0.000000, 
-1.254224, 0.000000, 0.000000, -0.615000, 0.000000, 
-1.237416, 0.000000, 0.000000, -0.614000, 0.000000, 
-1.233405, 0.000000, 0.000000, -0.613000, 0.000000, 
-1.254775, 0.000000, 0.000000, -0.612000, 0.000000, 
-1.254766, 0.000000, 0.000000, -0.611000, 0.000000, 
-1.246809, 0.000000, 0.000000, -0.610000, 0.000000, 
-1.244384, 0.000000, 0.000000, -0.609000, 0.000000, 
-1.242046, 0.000000, 0.000000, -0.608000, 0.000000, 
-1.219291, 0.000000, 0.000000, -0.607000, 0.000000, 
-1.236938, 0.000000, 0.000000, -0.606000, 0.000000, 
-1.238883, 0.000000, 0.000000, -0.605000, 0.000000, 
-1.224605, 0.000000, 0.000000, -0.604000, 0.000000, 
-1.231573, 0.000000, 0.000000, -0.603000, 0.000000, 
-1.233598, 0.000000, 0.000000, -0.602000, 0.000000, 
-1.230040, 0.000000, 0.000000, -0.601000, 0.000000, 
-1.224503, 0.000000, 0.000000, -0.600000, 0.000000, 
-1.217909, 0.000000, 0.000000, -0.599000, 0.000000, 
-1.229770, 0.000000, 0.000000, -0.598000, 0.000000, 
-1.212793, 0.000000, 0.000000, -0.597000, 0.000000, 
-1.217727, 0.000000, 0.000000, -0.596000, 0.000000, 
-1.221399, 0.000000, 0.000000, -0.595000, 0.000000, 
-1.208208, 0.000000, 0.000000, -0.594000, 0.000000, 
-1.208334, 0.000000, 0.000000, -0.593000, 0.000000, 
-1.207917, 0.000000, 0.000000, -0.592000, 0.000000, 
-1.201035, 0.000000, 0.000000, -0.591000, 0.000000, 
-1.199178, 0.000000, 0.000000, -0.590000, 0.000000, 
-1.209457, 0.000000, 0.000000, -0.589000, 0.000000, 
-1.188749, 0.000000, 0.000000, -0.588000, 0.000000, 
-1.191834, 0.000000, 0.000000, -0.587000, 0.000000, 
-1.191925, 0.000000, 0.000000, -0.586000, 0.000000, 
-1.200061, 0.000000, 0.000000, -0.585000, 0.000000, 
-1.182279, 0.000000, 0.000000, -0.584000, 0.000000, 
-1.172528, 0.000000, 0.000000, -0.583000, 0.000000, 
-1.185291, 0.000000, 0.000000, -0.582000, 0.000000, 
-1.181774, 0.000000, 0.000000, -0.581000, 0.000000, 
-1.174194, 0.000000, 0.000000, -0.580000, 0.000000, 
-1.182702, 0.000000, 0.000000, -0.579000, 0.000000, 
-1.174910, 0.000000, 0.000000, -0.578000, 0.000000, 
-1.175025, 0.000000, 0.000000, -0.577000, 0.000000, 
-1.169854, 0.000000, 0.000000, -0.576000, 0.000000, 
